old_path;new_card;initial_reading;title;authors;category;last_read;rating;series;series_index
Non-fiction/Адам Грант. Подумайте еще раз. Сила знания о незнании.md;Карточки/Адам Грант - Подумайте еще раз. Сила знания о незнании.md;Чтения/2024-10-04 - Адам Грант - Подумайте еще раз. Сила знания о незнании.md;Подумайте еще раз. Сила знания о незнании;Адам Грант;nonfiction;2024-10-04;;;
Non-fiction/Алан Д. Кастел. С возрастом только лучше. Технология успешного старения.md;Карточки/Алан Д. Кастел - С возрастом только лучше. Технология успешного старения.md;Чтения/2021-09-02 - Алан Д. Кастел - С возрастом только лучше. Технология успешного старения.md;С возрастом только лучше. Технология успешного старения;Алан Д. Кастел;nonfiction;2021-09-02;;;
Non-fiction/Александр Каминский. Мастер вождения автомобиля.md;Карточки/Александр Каминский - Мастер вождения автомобиля.md;Чтения/2022-07 - Александр Каминский - Мастер вождения автомобиля.md;Мастер вождения автомобиля;Александр Каминский;nonfiction;2022-07;;;
Non-fiction/Алексей Корнелюк/Алексей Корнелюк. 1. Судьба шлёт знаки, или На.md;Карточки/Алексей Корнелюк - 1. Судьба шлёт знаки, или На.md;Чтения/2023-08-14 - Алексей Корнелюк - 1. Судьба шлёт знаки, или На.md;1. Судьба шлёт знаки, или На...;Алексей Корнелюк;nonfiction;2023-08-14;;;
Non-fiction/Алексей Корнелюк/Алексей Корнелюк. 2. Наперегонки со счастьем.md;Карточки/Алексей Корнелюк - 2. Наперегонки со счастьем.md;Чтения/2023-08-17 - Алексей Корнелюк - 2. Наперегонки со счастьем.md;2. Наперегонки со счастьем;Алексей Корнелюк;nonfiction;2023-08-17;;;
Non-fiction/Алексей Корнелюк/Алексей Корнелюк. 4. Второй шанс умереть.md;Карточки/Алексей Корнелюк - 4. Второй шанс умереть.md;Чтения/2023-08-20 - Алексей Корнелюк - 4. Второй шанс умереть.md;4. Второй шанс умереть;Алексей Корнелюк;nonfiction;2023-08-20;;;
Non-fiction/Алексей Корнелюк/Алексей Корнелюк. 5. На небесах тебе нет места.md;Карточки/Алексей Корнелюк - 5. На небесах тебе нет места.md;Чтения/2023-10-21 - Алексей Корнелюк - 5. На небесах тебе нет места.md;5. На небесах тебе нет места;Алексей Корнелюк;nonfiction;2023-10-21;;;
Non-fiction/Алексей Корнелюк/Алексей Корнелюк. 6. Сцена после титров.md;Карточки/Алексей Корнелюк - 6. Сцена после титров.md;Чтения/2023-11-15 - Алексей Корнелюк - 6. Сцена после титров.md;6. Сцена после титров;Алексей Корнелюк;nonfiction;2023-11-15;;;
Non-fiction/Амиран Сардаров. Мужчина всегда прав.md;Карточки/Амиран Сардаров - Мужчина всегда прав.md;Чтения/2025-04-15 - Амиран Сардаров - Мужчина всегда прав.md;Мужчина всегда прав;Амиран Сардаров;nonfiction;2025-04-15;;;
Non-fiction/Андрей Кочергин. Мужик с топором.md;Карточки/Андрей Кочергин - Мужик с топором.md;Чтения/2025-04-10 - Андрей Кочергин - Мужик с топором.md;Мужик с топором;Андрей Кочергин;nonfiction;2025-04-10;;;
Non-fiction/Андрей Курпатов/Исправь свое детство.md;Карточки/Андрей Курпатов - Исправь свое детство.md;Чтения/2021-12 - Андрей Курпатов - Исправь свое детство.md;Исправь свое детство;Андрей Курпатов;nonfiction;2021-12;;;
Non-fiction/Андрей Курпатов/Красная таблетка.md;Карточки/Андрей Курпатов - Красная таблетка.md;Чтения/2021-12 - Андрей Курпатов - Красная таблетка.md;Красная таблетка;Андрей Курпатов;nonfiction;2021-12;;;
Non-fiction/Андрей Курпатов/Таблетка от страха.md;Карточки/Андрей Курпатов - Таблетка от страха.md;Чтения/2022-01-06 - Андрей Курпатов - Таблетка от страха.md;Таблетка от страха;Андрей Курпатов;nonfiction;2022-01-06;;;
Non-fiction/Андрей Курпатов/Три типа мышления.md;Карточки/Андрей Курпатов - 3 типа мышления.md;Чтения/2022-01 - Андрей Курпатов - 3 типа мышления.md;3 типа мышления;Андрей Курпатов;nonfiction;2022-01;;;
Non-fiction/Андрей Курпатов/Чертоги разума.md;Карточки/Андрей Курпатов - Чертоги разума.md;Чтения/2021-12 - Андрей Курпатов - Чертоги разума.md;Чертоги разума;Андрей Курпатов;nonfiction;2021-12;;;
Non-fiction/Ася Казанцева. Как мозг заставляет нас делать глупости.md;Карточки/Ася Казанцева - Как мозг заставляет нас делать глупости.md;Чтения/2025-05-06 - Ася Казанцева - Как мозг заставляет нас делать глупости.md;Как мозг заставляет нас делать глупости;Ася Казанцева;nonfiction;2025-05-06;;;
Non-fiction/Брюс Ли. Путь опережающего кулака.md;Карточки/Брюс Ли - Брюс ли. Путь опережающего кулака.md;Чтения/2022-08 - Брюс Ли - Брюс ли. Путь опережающего кулака.md;Брюс ли. Путь опережающего кулака;Брюс Ли | Владимир Касьянов (составитель);nonfiction;2022-08;;;
Non-fiction/Вадим Демчог. Самоосвобождающаяся Игра.md;Карточки/Вадим Демчог - Самоосвобождающаяся Игра.md;Чтения/2022-07 - Вадим Демчог - Самоосвобождающаяся Игра.md;Самоосвобождающаяся Игра;Вадим Демчог;nonfiction;2022-07;;;
Non-fiction/Вадим Уфимцев. Уличная драка и измененные состояния сознания.md;Карточки/Вадим Уфимцев - Уличная драка и измененные состояния сознания.md;Чтения/2022-07 - Вадим Уфимцев - Уличная драка и измененные состояния сознания.md;Уличная драка и измененные состояния сознания;Вадим Уфимцев;nonfiction;2022-07;;;
Non-fiction/Виктор Васильев. Белая книга.md;Карточки/Виктор Васильев - Белая книга.md;Чтения/2024-10-01 - Виктор Васильев - Белая книга.md;Белая книга;Виктор Васильев;nonfiction;2024-10-01;;;
Non-fiction/Владимир Век. Влюблённость и любовь как объекты научного исследования.md;Карточки/Владимир Век - Влюблённость и любовь как объекты научного исследования.md;Чтения/2025-05-07 - Владимир Век - Влюблённость и любовь как объекты научного исследования.md;Влюблённость и любовь как объекты научного исследования;Владимир Век;nonfiction;2025-05-07;;;
Non-fiction/Владимир Лебедев. Духи в зеркале психологии.md;Карточки/Владимир Лебедев - Духи в зеркале психологии.md;Чтения/2024-04-25 - Владимир Лебедев - Духи в зеркале психологии.md;Духи в зеркале психологии;Владимир Лебедев;nonfiction;2024-04-25;;;
Non-fiction/Гери Чепмен. Пять языков любви.md;Карточки/Гери Чепмен - Пять языков любви.md;Чтения/2021-09 - Гери Чепмен - Пять языков любви.md;Пять языков любви;Гери Чепмен;nonfiction;2021-09;;;
Non-fiction/Дарья Варламова. СЕКС. От нейробиологии либидо до виртуального порно.md;Карточки/Дарья Варламова - СЕКС. От нейробиологии либидо до виртуального порно.md;Чтения/2022-08 - Дарья Варламова - СЕКС. От нейробиологии либидо до виртуального порно.md;СЕКС. От нейробиологии либидо до виртуального порно.;Дарья Варламова | Елена Фоер;nonfiction;2022-08;;;
Non-fiction/Джеймс Борг. Секреты общения. Магия слов.md;Карточки/Джеймс Борг - Секреты общения. Магия слов.md;Чтения/2021-03-30 - Джеймс Борг - Секреты общения. Магия слов.md;Секреты общения. Магия слов;Джеймс Борг;nonfiction;2021-03-30;;;
Non-fiction/Джеймс Холлис. Перевал в середине пути.md;Карточки/Джеймс Холлис - Перевал в середине пути.md;Чтения/2021-08 - Джеймс Холлис - Перевал в середине пути.md;Перевал в середине пути;Джеймс Холлис;nonfiction;2021-08;;;
Non-fiction/Джеймс Холлис. Под тенью Сатурна.md;Карточки/Джеймс Холлис - Под тенью Сатурна.md;Чтения/2021-06 - Джеймс Холлис - Под тенью Сатурна.md;Под тенью Сатурна;Джеймс Холлис;nonfiction;2021-06;;;
Non-fiction/Джен Синсеро. Ни сы.md;Карточки/Джен Синсеро - Ни сы.md;Чтения/2023-01 - Джен Синсеро - Ни сы.md;Ни сы;Джен Синсеро;nonfiction;2023-01;;;
